"","X","Y"
"1",61578.0231898257,5668.73471050439
"2",61609.2124280407,6222.32391355144
"3",63251.8455633827,6476.97505631899
"4",63386.9989157926,6775.91344229719
"5",64385.054408672,6698.41088866334
"6",64489.0185191871,6775.91344229719
"7",60923.0491747979,465.012110248268
"8",60819.085043247,132.860579527057
"9",60642.3460182416,354.294920340429
"10",60330.4536169918,1018.59825482179
"11",60122.5253465371,1572.18472449975
"12",60330.4536169918,1904.3367623827
"13",60787.8958036635,2347.2063283439
"14",61411.6805850894,2568.64118938372
"15",63220.6563280622,1904.3367623827
"16",62648.853670684,1871.1215533261
"17",64988.0462408623,4229.40430639578
"18",65008.839062283,5115.14583309193
"19",64561.793396174,6266.61106386481
"20",60330.4536169918,2347.2063283439
"21",59457.1548653055,575.729313157483
"22",60954.2384141491,531.442430433436
"23",60954.2384141491,431.796951910211
"24",60975.0312403511,398.581794742861
"25",60923.0491747979,243.577743433422
"26",60860.6706959386,132.860579527057
"27",60871.067109097,0
"28",60881.4635222493,55.3585725280017
"29",60600.7603650494,465.012110248268
"30",60122.5253465371,1350.7500976118
"31",59467.5512792602,520.370710077228
"32",62648.853670684,1871.1215533261
"33",64489.0185191871,2203.27369657522
"34",64561.793396174,2347.2063283439
"35",64665.7575056167,2513.28246924499
"36",74053.7138541748,4007.96905491942
"37",74064.1102589533,4118.6866741483
"38",74116.0922827365,4373.3372477802
"39",63969.1979603113,6333.04179324266
"40",63449.3773857827,5004.42809668028
"41",64177.1261857467,6886.63138713525
"42",60652.7424315249,5668.73471050439
"43",60330.4536169918,5591.23224806495
"44",59956.1827284797,5037.64341623701
"45",59581.9118323616,3089.01331769633
"46",62222.6007685584,3011.51106760211
"47",60330.4536169918,2192.2019565804
"48",59904.2006600276,143.932295333023
"49",59914.5970737297,14836.213914343
"50",62378.5469534552,6620.90834141453
"51",61598.816015308,6255.53927609072
"52",60850.2742827743,199.290876310372
"53",60122.5253465371,1350.7500976118
"54",60091.3361057668,1572.18472449975
"55",59519.5333489384,1162.53070566042
"56",59498.7405210841,1240.03280367668
"57",59529.9297628582,1085.02861401622
"58",59540.3261767708,1018.59825482179
"59",59852.2185914289,620.016197961682
"60",59956.1827284797,553.585871535267
"61",59976.9755558194,542.51415091932
"62",60704.7244978506,2236.48891733948
"63",60819.085043247,2347.2063283439
"64",64177.1261857467,2125.77151934442
"65",64696.9467383266,2568.64118938372
"66",64686.5503274296,2590.7846783499
"67",64177.1261857467,6333.04179324266
"68",64177.1261857467,6310.89821626212
"69",64073.1620733439,6222.32391355144
"70",63969.1979603113,6388.4007379742
"71",63605.3235597768,6941.99036444132
"72",64177.1261857467,6908.77497766667
"73",64125.1441296238,6067.31890387057
"74",63917.2159035614,6045.17533314392
"75",60704.7244978506,5624.44758832858
"76",60330.4536169918,5668.73471050439
"77",60288.8679630907,5513.72979200767
"78",59810.6329364458,4805.13620395515
"79",59675.4795571012,2856.50658654351
"80",59602.7046601226,2347.2063283439
"81",60923.0491747979,564.65759228131
"82",60985.4276534439,487.155549789854
"83",62232.9971809288,6587.69296597594
"84",61952.2940448288,6488.04684669823
"85",61962.6904573573,6476.97505631899
"86",62576.0787856826,6731.62626801037
"87",207.928611944432,64184.9277216355
"88",155.946458959762,64162.7827694681
"89",31.1892917933849,64140.6378178333
"90",62.3785835840966,64129.565342215
"91",31.1892917933849,64162.7827694681
"92",0,64218.1451508821
"93",124.757167167974,64140.6378178333
"94",72.7750141814307,64196.0001979179
"95",62.3785835840966,64229.2176275636
"96",103.964305973386,64129.565342215
"97",10.3964303382729,64328.8699236786
"98",23745.4454650551,64638.8993582162
"99",23714.2561812132,64483.8846279213
"100",23755.8418929978,64594.6094326161
"101",23735.0490371101,64583.536951548
"102",23693.463325307,64539.2470286074
"103",23776.6347488761,64561.3919898123
"104",23724.6526091628,64528.1745482042
"105",23766.2383209368,64539.2470286074
