plot,latitude,longitude
WF1,21.06,109.105
WF2,21.065,109.1053
WF3,21.0673,109.1211
WF4,21.07,109.1224
WF5,21.0693,109.132
WF6,21.07,109.133
WF7,21.013,109.0987
WF8,21.01,109.0977
WF9,21.012,109.096
WF10,21.018,109.093
WF11,21.023,109.091
WF12,21.026,109.093
WF13,21.03,109.0974
WF14,21.032,109.1034
WF15,21.026,109.1208
WF16,21.0257,109.1153
WF17,21.047,109.1378
WF18,21.055,109.138
WF19,21.0654,109.1337
WF20,21.03,109.093
WS1,21.014,109.0846
WS2,21.0136,109.099
WS3,21.0127,109.099
WS4,21.0124,109.0992
WS5,21.011,109.0987
WS6,21.01,109.0981
WS7,21.0088,109.0982
WS8,21.0093,109.0983
WS9,21.013,109.0956
WS10,21.021,109.091
WS11,21.0135,109.0847
WS12,21.0257,109.1153
WS13,21.0287,109.133
WS14,21.03,109.1337
WS15,21.0315,109.1347
WS16,21.045,109.225
WS17,21.046,109.2251
WS18,21.0483,109.2256
WS19,21.066,109.128
WS20,21.054,109.123
WS21,21.071,109.13
WS22,21.06,109.0961
WS23,21.0593,109.093
WS24,21.0543,109.0894
WS25,21.0367,109.0858
WS26,21.036,109.1112
WS27,21.0286,109.093
WS28,21.0101,109.0889
WS29,21.1428,109.089
WS30,21.0686,109.1127
WS31,21.0653,109.1052
WH1,21.0106,109.098
WH2,21.021,109.091
WH3,21.023,109.0907
WH4,21.0193,109.0852
WH5,21.02,109.085
WH6,21.0186,109.0853
WH7,21.018,109.0854
WH8,21.0144,109.0884
WH9,21.0138,109.0894
WH10,21.0137,109.0896
WH11,21.029,109.0966
WH12,21.03,109.0977
WH13,21.028,109.13
WH14,21.032,109.135
WH15,21.0322,109.1349
WH16,21.066,109.13
WH17,21.0658,109.13
WH18,21.065,109.129
WH19,21.0665,109.128
WH20,21.0715,109.1245
WH21,21.0712,109.13
WH22,21.0636,109.1295
WH23,21.0634,109.1275
WH24,21.0596,109.0966
WH25,21.06,109.093
WH26,21.0586,109.0926
WH27,21.0522,109.088
WH28,21.0346,109.0867
WH29,21.03,109.086
WH30,21.0139,109.0987
WH31,21.0132,109.0993
WH32,21.0683,109.1113
WH33,21.0674,109.1086
WH34,21.0673,109.1087
WH35,21.0696,109.1146
SF1,21.5885,108.5147
SF2,21.5883,108.5142
SS2,21.5881,108.513
SS3,21.588,108.5133
SS4,21.5883,108.513
SF3,21.5888,108.5127
SF4,21.5881,108.5139
SS5,21.5886,108.5134
SH1,21.5889,108.5133
SS6,21.588,108.5137
SS1,21.5898,108.5128
DH1,21.5926,108.7411
DH2,21.5912,108.7408
DF1,21.5922,108.7412
DF2,21.5921,108.741
DF3,21.5917,108.7406
DF4,21.5919,108.7414
DS1,21.5916,108.7409
DS2,21.5917,108.7413
