,env3,env4,env5,env6,env7,env8,env9,env10,env11,env12
SRR8247254,0.302097050157976,-0.193771916568691,1.53404222042832,1.1575160171567,1.66174309713628,0.610538157393147,-0.125711401242522,-0.110641607686069,0.454012478484833,0.978939319343543
SRR8247256,-0.109269145801821,-0.510853234590187,1.43018723843803,0.429666188924293,-0.337656760642599,-1.11333428701103,-1.44974268515932,-1.0630195452241,-0.715381702600978,-1.06300936270461
SRR8247258,-0.109269145801821,0.0656582527216228,0.911756677933683,0.489537707053088,1.67943690118742,-0.395054101842624,-0.828138652865418,-0.584484817988244,-0.240766471697323,-0.248309973432425
SRR8247260,-0.880580763226438,0.152134975818394,0.911756677933683,-0.822939886436965,-1.34620359155761,-0.82602221294367,-1.12906227553883,-1.0630195452241,-1.15390452050816,0.611457892693112
SRR8247262,-0.880580763226438,-0.155337817414571,-0.851244967559939,-1.47917868318199,-0.603063821409704,-2.54989465734785,-1.61351175381989,-2.02008899969582,-1.66461216440829,-2.69587494716077
SRR8247264,0.507780148137874,-0.61654700726402,-0.436669389045874,0.806504567734943,-0.125331112028911,0.323226083325785,0.872904375355719,-0.584484817988244,1.07660660267404,-0.698994741965973
SRR8247266,0.0964139521780775,0.325088422011937,0.393326117429333,0.495407463732382,0.423176813556446,-0.107742027775261,-0.0277438626619223,-0.110641607686069,0.0136850399278301,-0.258710391167815
SRR8247268,-2.06325857661085,1.9681461608506,-0.955099949550225,-1.5672250333714,-1.62930445637585,-1.4006463610784,-1.53040262525735,0.846427846785651,-2.10854884426494,-0.629658623730043
SRR8247271,1.02198789308762,-0.08807814389486,1.32717660589482,1.0894268396769,-0.107637307977771,1.90344249069628,1.1370901710614,1.79880578432369,1.47542776628509,1.34988755190577
SRR8247272,0.250676275663001,-0.722240779937851,-1.47353051005458,0.845244961818281,0.387789205454162,-0.107742027775261,-0.867325668297657,-0.110641607686069,-0.204674058700848,0.160773124159564
SRR8247274,0.507780148137874,-0.61654700726402,-0.436669389045874,0.806504567734943,-0.125331112028911,0.323226083325785,0.872904375355719,-0.584484817988244,1.07660660267404,-0.698994741965973
SRR8247276,-2.06325857661085,1.9681461608506,-0.955099949550225,-1.5672250333714,-1.62930445637585,-1.4006463610784,-1.53040262525735,0.846427846785651,-2.10854884426494,-0.629658623730043
SRR8247278,-2.21752090009578,2.55426617295094,-0.644379353026444,-0.945030825366273,-0.638451429511988,0.610538157393147,0.473849934870746,-0.110641607686069,0.233848759206331,1.39842283467092
SRR8247280,0.81630479510772,-0.943236850074044,-0.436669389045874,0.167875041027798,0.334707793300742,-0.107742027775261,0.331960283159844,-0.110641607686069,0.233848759206331,-0.68166071240699
SRR8247282,-0.109269145801821,0.0656582527216228,0.911756677933683,0.489537707053088,1.67943690118742,-0.395054101842624,-0.828138652865418,-0.584484817988244,-0.240766471697323,-0.248309973432425
SRR8247284,0.81630479510772,-1.40444603992349,-0.021249461084733,-1.221496364961,-0.00147448367092704,1.04150626849419,0.715013359009988,0.367893119549791,0.490104891481309,1.80403912635111
SRR8247286,0.610621697127823,-1.02010504838229,-1.36967552806429,-1.04012088357083,1.90945635385225,-0.251398064808942,0.591410981167464,-1.0630195452241,0.381827652491882,-0.674727100583397
SRR8247288,-0.263531469286744,0.603735640879313,-0.125104443075017,-0.942095947026626,-0.0899435039266309,0.466882120359465,1.45287220375287,-0.349908971303999,0.764407230254524,0.139972288688785
SRR8247290,0.250676275663001,-0.0976866686833899,0.185616153448762,-1.26317163738399,-1.39928500371103,-0.107742027775261,0.571817473451345,-0.110641607686069,0.0136850399278301,-0.258710391167815
SRR8247292,0.713463246117771,0.296262847646347,0.393326117429333,1.14108069845468,-0.0722496998754907,0.610538157393147,1.19342150574525,-0.110641607686069,0.672371577113511,0.555988998104367
SRR8247294,1.69045796152229,-1.60622506048263,-1.05895493154051,0.2758785639268,-0.160718720131191,0.323226083325785,0.63304718506422,-0.110641607686069,0.672371577113511,-0.276044420726798
SRR8247296,1.02198789308762,-0.08807814389486,1.32717660589482,1.0894268396769,-0.107637307977771,1.90344249069628,1.1370901710614,1.79880578432369,1.47542776628509,1.34988755190577
SRR8247298,0.0964139521780775,0.142526451029864,1.01561165992397,0.741937244262714,-0.302269152540316,0.466882120359465,-0.585832274109404,2.27734051155955,-0.68289853090415,0.982406125255339
SRR8247299,-0.00642759681187168,-0.07846961910633,-1.57738549204486,0.822939886436965,0.60011485406785,0.179570046292103,0.532630458019104,0.846427846785651,0.0858698659207818,-0.269110808903204
